#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:NorthAm" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:NorthAm" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:NorthAm" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.NorthAm" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:NorthAm" name="distribution" x="@birthRate.t:NorthAm">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:NorthAm" name="distribution">
#            <parameter id="ucldStdev.c:NorthAm" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.base.inference.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.base.inference.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@NorthAm" id="treeLikelihood.NorthAm" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:NorthAm">
#            <siteModel id="SiteModel.s:NorthAm" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:NorthAm" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:NorthAm" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:NorthAm" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:NorthAm" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:NorthAm" spec="beast.base.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:NorthAm">
#                <LogNormal S="@ucldStdev.c:NorthAm" id="LogNormalDistributionModel.c:NorthAm" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" spec="beast.base.inference.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="198" id="rateCategories.c:NorthAm" spec="beast.base.inference.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:NorthAm" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-126918.04251377593	-126909.51153049165	-8.530983284271123	-126909.51153049165	1.7566350496605205	9.350347429391924	-9.350347429391926	1.0	0.1	0.9701069772633094	0.01070665540955562	0.1041780121717459
1000	-40071.98861707989	-40180.40339995857	108.41478287867976	-40180.40339995857	1.1524030957898355	10.919898308469618	118.6152640882462	8.078685516888994	3.6747852680828257	0.037393332285669434	6.289025513035444	9.344148223258076
2000	-34599.83718937987	-34658.99390656717	59.15671718730218	-34658.99390656717	1.1009654700514093	17.62895888388451	69.80720575054217	4.555191458519343	3.8389583286546456	0.006652885218195763	0.3353222923801908	6.328228605513749
3000	-32757.146619146028	-32829.45732797799	72.31070883195794	-32829.45732797799	0.6747943369318607	15.83546507546694	82.45295667624256	6.224361678946271	3.6535642471449985	0.007406778504012257	0.46509613723641247	6.41376408704797
4000	-31857.371206788368	-31949.52870152832	92.15749473995382	-31949.52870152832	0.5276892819395618	12.657140583081885	102.29974258423844	9.644858519021676	3.6535642471449985	0.008104452815111268	0.4438064607165995	6.693714813710736
5000	-30821.724142436247	-30949.489876272033	127.76573383578611	-30949.489876272033	0.48387750744409525	9.050567562403101	137.08462910720579	9.644858519021676	3.3541594388484812	0.013502891823599305	0.10025082698986694	3.3107292312912677
6000	-30271.69356865164	-30398.131382103416	126.43781345177624	-30398.131382103416	0.5419458452131629	9.121534768680267	135.8635926818393	12.632213754770204	3.392956341206176	0.01176622500190394	0.10206769725790331	3.295322788621807
7000	-30151.13243612117	-30306.16471450262	155.03227838145	-30306.16471450262	0.39049245363967755	6.876803868160758	164.21951323913945	12.632213754770204	3.306399901450203	0.015643818736738195	0.1274120261401111	3.1563359162216047
8000	-29973.116937601608	-30116.102441614425	142.98550401281736	-30116.102441614425	0.5705207860427308	7.830458912517776	152.1727388705068	12.632213754770204	3.306399901450203	0.013503820922737055	0.11736415593165275	3.0964539713773047
9000	-29859.956020479214	-29998.01325691085	138.0572364316355	-29998.01325691085	0.537558022189135	8.223637779838992	147.24447128932493	12.523129463117902	3.306399901450203	0.013103924933045661	0.11387597851546742	3.1775845344237217
10000	-29684.025642030305	-29846.401749613964	162.37610758365977	-29846.401749613964	0.4016833742137331	6.370412388092554	171.56334244134922	13.39671343037322	3.306399901450203	0.014533994270928259	0.11348079347704446	3.1817763960876024
11000	-29628.572094604722	-29786.24017818237	157.66808357764754	-29786.24017818237	0.37471915176145687	6.721843657446878	166.85531843533698	13.39671343037322	3.306399901450203	0.014611903492905273	0.10774542792944712	3.1521994211818067
12000	-29490.462193626445	-29644.58118592395	154.11899229750784	-29644.58118592395	0.32264360707721423	6.692460649783452	163.3062271551973	19.660013173884444	3.306399901450203	0.013619081173823828	0.10728791681608757	3.197866678130436
13000	-29369.081289014994	-29525.07948490997	155.99819589497702	-29525.07948490997	0.33976355783793094	6.821348432095644	165.18543075266646	12.918074463968738	3.306399901450203	0.013933492215987003	0.1246304828137551	3.257970505511944
14000	-29297.432322781366	-29455.998649678437	158.56632689707232	-29455.998649678437	0.32231271892091184	6.621250938224309	167.77030507854997	12.918074463968738	3.312471594211761	0.014093115138359653	0.12244785052894692	3.291997605854697
15000	-29078.18531956144	-29234.02326236618	155.83794280474248	-29234.02326236618	0.33446571280616955	6.832457654824363	165.04192098622013	12.918074463968738	3.312471594211761	0.01367238747652133	0.1287485617736923	3.3044137746590114
16000	-28939.910636957007	-29110.482658162775	170.57202120576744	-29110.482658162775	0.2971057460743508	5.881027112749244	179.7759993872451	18.97593580368327	3.312471594211761	0.015199126951995986	0.12981318676791162	3.3386535483798436
17000	-28798.386752543483	-28962.52023563245	164.13348308896914	-28962.52023563245	0.32980480347194713	6.211932097165819	173.3374612704468	19.132697963914776	3.312471594211761	0.01457666357015996	0.12939093636348192	3.3649026648099727
18000	-28747.335753658204	-28926.183770584732	178.84801692652835	-28926.183770584732	0.2528171599277994	5.442854266882196	188.051995108006	19.132697963914776	3.312471594211761	0.015791055371241532	0.12584604192571605	3.383081681465433
19000	-28716.507942799635	-28883.087530896795	166.57958809715905	-28883.087530896795	0.32762515924387936	6.145644003899912	175.7835662786367	14.747794581600623	3.312471594211761	0.014861003916484868	0.11698245824565563	3.422603783562296
20000	-28666.77276766563	-28837.466428198717	170.69366053308923	-28837.466428198717	0.291030341356316	5.861680595042254	179.8318513299617	19.417844751767987	3.288618120770207	0.014900569140947086	0.12367207250407343	3.408470919178157
21000	-28625.786128283045	-28793.313118601658	167.52699031861383	-28793.313118601658	0.28324127694795814	5.864130478471701	176.6651811154863	22.24276829366236	3.288618120770207	0.014981618724898572	0.12358831944391553	3.4103112961986537
22000	-28593.03338339257	-28766.889848035855	173.8564646432858	-28766.889848035855	0.2950417086071588	5.712907613391823	182.99465544015825	15.832224272951091	3.288618120770207	0.015477941400866701	0.12353430746354317	3.3630696221751695
23000	-28555.515814953465	-28739.061160633813	183.54534568034794	-28739.061160633813	0.2201285451071593	5.1881507328578085	192.61604835957263	20.630740633374984	3.2641571105127998	0.01758292666692441	0.12541947049524627	3.3247426592407976
24000	-28566.248294662382	-28750.855069303972	184.60677464159087	-28750.855069303972	0.24313702749864852	5.138724321785935	193.72800215905713	20.327758656478597	3.2824689205902717	0.01662387250069689	0.10294240559466145	3.123352682209554
25000	-28503.9873190639	-28713.922367343734	209.9350482798334	-28713.922367343734	0.18331256575366695	3.859699567704551	218.66409603478866	19.38412992047457	3.1404710648202507	0.023260538070439332	0.1003444364281502	2.7660532206741335
26000	-28451.083991168172	-28668.642783025996	217.55879185782436	-28668.642783025996	0.1732291839146214	3.700484098860596	226.2878396127796	25.621747908655323	3.1404710648202507	0.0238680623280149	0.0828183802647827	2.6364766499148717
27000	-28422.463111435438	-28639.311976111494	216.84886467605548	-28639.311976111494	0.17285026675412274	3.669415817542204	225.57791243101073	22.367868085926435	3.1404710648202507	0.023593824756814836	0.08299500677203464	2.6396721858377523
