Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	R0.t:h3n2_2deme.1	R0.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.1	samplingProportion.t:h3n2_2deme.2	samplingProportion.t:h3n2_2deme.3	samplingProportion.t:h3n2_2deme.4	becomeUninfectiousRate.t:h3n2_2deme.1	becomeUninfectiousRate.t:h3n2_2deme.2	rateMatrix.t:h3n2_2deme.1	rateMatrix.t:h3n2_2deme.2	geo-frequencies.t:h3n2_2deme.1	geo-frequencies.t:h3n2_2deme.2	clockRate.c:h3n2_2deme	gammaShape.s:h3n2_2deme
0	-7881.223894150285	-7508.355569120854	-372.86832502943076	-7508.355569120854	12.064573334404075	49.660467269178014	23	27	33	26	0	2.0	2.0	0.0	0.01	0.0	0.01	1.0	1.0	0.1	0.1	0.5	0.5	0.005	1.0
1000	-6706.058449263776	-6455.123767763898	-250.93468149987834	-6455.123767763898	7.702942944585464	74.0354395204929	21	19	28	31	1	1.0957442939255164	0.9688152666075341	0.0	0.006580998432961786	0.0	0.004149724817953133	5.514726061352019	5.514726061352019	0.139634233522814	0.12602446877386286	0.5	0.5	0.0037880370925893994	1.0
2000	-6328.990372417507	-6122.451522943952	-206.5388494735552	-6122.451522943952	7.3721552628148075	74.04572811185652	14	15	31	28	1	1.0205628404443214	1.0010276527388153	0.0	0.004182798260234631	0.0	0.0019409759178570989	11.79996267367488	11.79996267367488	0.14249503331816524	0.1465213184368707	0.6534815627767828	0.3465184372232172	0.0036734073308494187	1.3666862061064529
3000	-5995.1460276668795	-5778.7762415641855	-216.36978610269398	-5778.7762415641855	7.563634199987713	78.15947160864582	20	15	25	34	1	1.012488029400778	1.0012218891129563	0.0	0.002325593251852187	0.0	0.0010689621890434895	19.04448489277013	19.04448489277013	0.16718187066632204	0.15785101143546537	0.657408651212791	0.3425913487872089	0.003117063036533907	3.055713040193238
4000	-5789.056026743934	-5595.593097056769	-193.46292968716492	-5595.593097056769	7.485173895044983	75.55148228664353	16	13	27	32	1	1.023147921187384	1.0164395912534412	0.0	0.0024587575460277918	0.0	0.0017194925358745643	17.45369102790884	17.45369102790884	0.20730183621593473	0.20033975006567795	0.5683113093311731	0.4316886906688268	0.002830697027855978	3.0115675019766632
5000	-5486.863331050647	-5284.002866214782	-202.86046483586387	-5284.002866214782	7.6973996080487215	76.23283833603634	19	17	28	31	1	1.0192661248782646	1.0178973677874075	0.0	0.00234853299700227	0.0	0.0014052018151903287	19.34051046160447	19.34051046160447	0.19739406032896004	0.2476792619665046	0.6766536769700062	0.3233463230299938	0.0022654612825441455	3.0115675019766632
6000	-5355.1524581459125	-5160.9316870589455	-194.22077108696712	-5160.9316870589455	7.7165495650677185	73.99426825194398	17	17	30	29	1	1.0086493269086494	1.0215315835882661	0.0	0.0024214927563577663	0.0	0.002018998203238533	16.08675455130298	16.08675455130298	0.2197723178215313	0.26585307531427266	0.6766536769700062	0.3233463230299938	0.0019028637227273108	3.6056204634509377
7000	-5277.142960512202	-5097.773924409057	-179.36903610314494	-5097.773924409057	7.655746536116896	68.92575622514676	16	18	32	27	1	1.0232600852533886	0.9982850502086701	0.0	0.0016963625208200213	0.0	0.001787138261281226	21.28169168047399	21.28169168047399	0.40386056201098125	0.23393792994247137	0.6766536769700062	0.3233463230299938	0.0024006392966668235	3.6056204634509377
8000	-5178.584008667895	-5010.558803490244	-168.0252051776515	-5010.558803490244	7.601256359117919	67.90776740857726	11	14	33	26	1	1.0177235730732657	1.0074833824041676	0.0	0.0011236677784252564	0.0	0.0012478853212882837	33.66048654320189	33.66048654320189	0.47806330042245126	0.21782158486963807	0.587863225275502	0.41213677472449795	0.0019908359105755267	3.6056204634509377
9000	-5075.9310740739575	-4905.789477753346	-170.14159632061194	-4905.789477753346	7.5710309774429	63.981021128975506	18	17	29	30	1	1.0155900471832804	1.013593664173032	0.0	0.0015938652332297865	0.0	0.0013627736225448061	26.9372033381257	26.9372033381257	0.34048501623059363	0.3686422470285283	0.680119156227684	0.319880843772316	0.002104615337175985	3.6056204634509377
