Sample	posterior	likelihood	prior	treeLikelihood.h3n2_2deme	treeHeight.t:h3n2_2deme	treeLength.t:h3n2_2deme	Tree.t:h3n2_2deme.length_HongKong	Tree.t:h3n2_2deme.length_NewZealand	Tree.t:h3n2_2deme.count_HongKong_to_NewZealand	Tree.t:h3n2_2deme.count_NewZealand_to_HongKong	Tree.t:h3n2_2deme.count_HongKong	Tree.t:h3n2_2deme.count_NewZealand	rootTypeLogger.t:h3n2_2deme	migModel.t:h3n2_2deme.popSizeScaleFactor	migModel.t:h3n2_2deme.popSize_HongKong	migModel.t:h3n2_2deme.popSize_NewZealand	migModel.t:h3n2_2deme.rateMatrixScaleFactor	migModel.t:h3n2_2deme.rateMatrix_backward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_backward_NewZealand_HongKong	migModel.t:h3n2_2deme.rateMatrix_forward_HongKong_NewZealand	migModel.t:h3n2_2deme.rateMatrix_forward_NewZealand_HongKong	clockRate.c:h3n2_2deme	kappa.s:h3n2_2deme	freqParameter.s:h3n2_2deme.1	freqParameter.s:h3n2_2deme.2	freqParameter.s:h3n2_2deme.3	freqParameter.s:h3n2_2deme.4	gammaShape.s:h3n2_2deme
0	-8314.710293686943	-8193.905989448625	-120.80430423831768	-8193.905989448625	9.526992207300296	50.943420788625374	27.00888589713252	23.934534891492852	28	28	29	30	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.005	2.0	0.25	0.25	0.25	0.25	1.0
1000	-6927.176211036876	-6760.169836737274	-167.00637429960247	-6760.169836737274	6.730722204322729	59.110055143037634	30.60629480498082	28.503760338056818	38	40	31	28	0	1.6305820476757067	1.3479356030128615	1.3545747181503023	1.1672536386741446	1.4943356723223074	1.2125299141028678	1.2185021027514404	1.4870115532097934	0.009269386580355771	2.0	0.25	0.25	0.25	0.25	0.342435358287266
2000	-6259.693626219962	-6096.375102550741	-163.31852366922132	-6096.375102550741	6.462890145734567	57.873718651737406	30.760317964114385	27.11340068762301	41	44	32	27	0	1.5156058352104227	1.1782437387561675	0.9707764948079922	1.0892962551391725	1.5080670777200291	1.440783067007881	1.1870874332378436	1.8303601307316144	0.009069565924307603	2.0	0.25	0.25	0.25	0.25	0.342435358287266
3000	-5692.777728051198	-5557.149338748024	-135.62838930317412	-5557.149338748024	6.760342640654755	52.73839290423634	20.914757063091876	31.823635841144455	52	47	25	34	1	1.8948002428814608	1.2419153420427242	0.9165756156591286	0.8793054051204381	2.1676249047660394	1.3326542309100977	0.9835439911291022	2.9370262300584615	0.005786742939169714	2.0	0.25	0.25	0.25	0.25	0.342435358287266
4000	-5305.0608156128455	-5192.20315355478	-112.85766205806476	-5192.20315355478	6.762770825933168	50.41689115106068	23.400899690718003	27.015991460342693	61	51	20	39	1	1.9843271621460907	1.426923669233771	0.8343107588628538	0.9964217130282749	2.326986924817003	1.862469464114939	1.0889708717208597	3.979851255357848	0.004721855682431842	2.0	0.25	0.25	0.25	0.25	0.342435358287266
5000	-5163.909770084501	-5063.112466486593	-100.7973035979084	-5063.112466486593	6.695057097281866	48.462648211374464	20.89754263047635	27.565105580898113	60	51	21	38	1	1.6878867210731385	1.3880088283279606	0.7722435956180086	1.352931118666104	3.1141753941698296	1.9248500268561048	1.070924820813573	5.597330899986592	0.004528617228221041	2.0	0.25	0.25	0.25	0.25	0.342435358287266
6000	-5067.379478373209	-4965.472834024122	-101.9066443490877	-4965.472834024122	6.398175587668906	48.90843420847851	21.736878482252408	27.171555726226117	62	51	19	40	1	1.4705016837418188	1.2082778629414583	1.0282685333241544	1.444892416550911	3.103376753776894	1.8229457402167628	1.5513631426292422	3.6466558203757335	0.004424529434058456	2.0	0.25	0.25	0.25	0.25	0.342435358287266
7000	-4926.016303547441	-4827.318135601695	-98.69816794574555	-4827.318135601695	6.956800971871989	50.76469050192088	22.586807766764135	28.177882735156725	64	63	29	30	1	0.9697930204344055	1.245527135723619	1.7013776223077013	1.989234812296317	2.927483562543489	2.6370641455252115	3.6022032737006175	2.1431222373708447	0.003931301884967579	2.0	0.25	0.25	0.25	0.25	0.342435358287266
8000	-4821.21176851289	-4751.851112628493	-69.36065588439628	-4751.851112628493	6.632743001228126	47.873570157532725	25.88707672546912	21.986493432063583	66	76	39	20	0	1.2215706403216129	1.0901932363245463	1.7750634918572878	2.1793342925950188	2.2415254661973414	3.3954722280400533	5.528541719749723	1.3766808418445216	0.003726234856514869	2.0	0.25	0.25	0.25	0.25	0.3506273994708196
9000	-4816.029073672018	-4728.988402433756	-87.04067123826165	-4728.988402433756	6.524637691530524	47.008683611241096	23.01473756877324	23.993946042467876	58	63	34	25	0	1.1081582809648738	1.0857510555115775	1.4171467298126277	1.958017049254146	2.1315255540656257	2.996342976320108	3.9108943332211186	1.6330744526945675	0.0034391497457653066	2.0	0.25	0.25	0.25	0.25	0.20543171188064652
10000	-4819.6922102806275	-4724.454133288807	-95.23807699182059	-4724.454133288807	7.15089125789473	46.74190390509921	24.30518147983304	22.436722425266183	48	56	37	22	0	1.203915231195518	0.9862660944759052	1.3854661542211943	1.9236025385959077	2.2015732070923635	2.599203107546877	3.651253909692953	1.5672248665521118	0.0038374940827518543	2.0	0.25	0.25	0.25	0.25	0.1569634265526373
11000	-4721.0154807473	-4701.418631853079	-19.59684889422084	-4701.418631853079	6.6925976385799455	45.43734242840492	21.69609549086954	23.741246937535372	83	86	33	26	1	1.223082596077665	0.978405325994778	1.1239603786172179	2.6186482642182694	3.3287249439512476	3.751290743092925	4.309361418922296	2.897648596777394	0.0037869964551684493	2.0	0.25	0.25	0.25	0.25	0.20490399425122768
12000	-4754.498299684495	-4690.2482770795	-64.25002260499416	-4690.2482770795	6.687981669461604	45.57155480919288	19.20755820763983	26.36399660155304	66	66	30	29	1	1.4095711937717748	0.7781927610164131	1.2686877525580864	2.8154005762296626	2.969923683286169	2.5697872113001297	4.18952440189573	1.821703651228936	0.003664027462667925	2.0	0.25	0.25	0.25	0.25	0.2779368103980217
13000	-4668.790500809683	-4648.662192322618	-20.128308487065596	-4648.662192322618	6.71345386198462	45.664427480697256	18.15925686887492	27.505170611822322	86	82	25	34	0	1.3448587787393977	0.6550738869827847	1.134162402491747	2.98643480331205	4.339353075315128	2.8008484378576344	4.849249918855874	2.506340255850675	0.003688742008512489	2.0	0.25	0.25	0.25	0.25	0.2779368103980217
14000	-4577.022191084677	-4643.054775454709	66.03258437003208	-4643.054775454709	6.861504794100814	44.83508305345466	21.087485740162602	23.74759731329206	113	111	28	31	1	1.4733117001669016	0.747139971868382	0.7738480992155691	2.9982812538931	5.6560948385159735	4.088073882329893	4.234210887395941	5.460883786905222	0.0037651812472224975	2.0	0.25	0.25	0.25	0.25	0.2779368103980217
15000	-4562.456205657753	-4643.453669623833	80.99746396607961	-4643.453669623833	6.784419907526464	42.046056657877415	18.467099683874686	23.578956974002743	110	110	29	30	0	1.3099116297918219	0.5527128241026725	0.8574304254526036	3.290193011023095	5.551182607720434	4.704713843196955	7.29848235157968	3.578377586266795	0.004139544069578382	2.0	0.25	0.25	0.25	0.25	0.2154939925453526
16000	-4631.8279506778235	-4651.583474481443	19.75552380361928	-4651.583474481443	6.686085408076036	41.103954240232966	19.97532864241151	21.128625597821458	89	88	28	31	0	1.2794110346649088	0.48669465692409714	0.7241199441071364	2.9293780083295275	4.944602614029796	4.310717613698694	6.413624133909403	3.3233605736802803	0.004241975265264625	2.0	0.25	0.25	0.25	0.25	0.2154939925453526
17000	-4635.839278938063	-4639.6139582056585	3.7746792675954106	-4639.6139582056585	6.830387558321438	42.71505823683387	19.493351733140976	23.22170650369289	87	84	26	33	0	1.5121810045209325	0.5078109911402316	0.6660071031798358	2.470376966238028	4.199199484649426	3.450256217945278	4.525099277158789	3.2017671314829546	0.004256613053587592	2.0	0.25	0.25	0.25	0.25	0.2569587505767157
18000	-4630.224709490866	-4631.191283517733	0.9665740268661724	-4631.191283517733	7.295662824700721	44.41325032969839	20.694197913523332	23.71905241617506	90	88	27	32	0	1.932673586065919	0.45081028667767314	0.6920237006189633	2.6117431775052107	4.720610828679367	3.6757910158859484	5.642583092461883	3.075183579792495	0.0038284939669802906	2.0	0.25	0.25	0.25	0.25	0.2569587505767157
19000	-4580.064600020424	-4629.606223115056	49.54162309463244	-4629.606223115056	7.316510229155162	44.51430045590418	19.362035317562096	25.152265138342077	105	104	28	31	0	2.772109578604142	0.36637358943424614	0.48287095256557955	3.1466704947333453	6.054082069882782	3.9604839170441015	5.219815774922187	4.593475268884035	0.0040749846421663325	2.0	0.25	0.25	0.25	0.25	0.31824266681627733
20000	-4688.1303492243405	-4634.469255375444	-53.66109384889634	-4634.469255375444	7.382237625787586	45.67803307660724	20.76798919779215	24.910043878815088	69	71	31	28	0	2.279062366490225	0.2677907296843087	0.5218162095831302	2.310365879297022	3.5270830293802726	3.499153526498883	6.818440026283256	1.8100628549838378	0.0036130071338851943	2.0	0.25	0.25	0.25	0.25	0.31824266681627733
21000	-4640.977366278692	-4634.367961414057	-6.60940486463465	-4634.367961414057	7.286921962463244	44.41264383189815	20.641441683682615	23.771202148215533	83	85	31	28	0	2.9016543330544433	0.28184960355456923	0.34242911058437436	2.5652609768760475	4.280826994146096	3.5846603091559426	4.355131339305651	3.523501226653107	0.0038518083860528845	2.0	0.25	0.25	0.25	0.25	0.3771622634863669
22000	-4666.929544597399	-4638.215684391104	-28.713860206295287	-4638.215684391104	6.867599988023894	42.527830364550375	19.00893056517966	23.51889979937069	76	71	25	34	1	2.8583539727855936	0.27259380499320846	0.4489233525942733	2.8601103015646174	4.513943209461156	3.373643836046494	5.5559131337365875	2.7409421850735067	0.0040631698661769714	2.0	0.25	0.25	0.25	0.25	0.3771622634863669
23000	-4649.376946620869	-4642.034465959892	-7.342480660976646	-4642.034465959892	6.8152914704487	41.4426808071547	17.018253494922636	24.42442731223206	82	75	22	37	0	2.395243181754581	0.38071885999526417	0.5054557592400573	2.899132872962929	5.200309639911453	3.413017857748798	4.531242640855122	3.9169718052201947	0.004118924043384433	2.0	0.25	0.25	0.25	0.25	0.3771622634863669
24000	-4661.048936103881	-4630.427922033947	-30.621014069934144	-4630.427922033947	7.110323026643987	42.87834190309502	17.326290548403264	25.55205135469178	75	68	23	36	1	1.7452195923594107	0.5065809583168949	0.5678247498433677	3.6046741100845634	4.483402312728937	3.0414748052847407	3.4091780239899236	3.9998366410215667	0.004093920312950924	2.0	0.25	0.25	0.25	0.25	0.3771622634863669
25000	-4691.016338910256	-4628.562047433475	-62.45429147678162	-4628.562047433475	7.0777273177856665	43.15222779445455	18.31112483112465	24.84110296332989	63	58	24	35	0	2.457531640101822	0.44993550591018994	0.7613916655253432	2.8674920872984915	3.29752388515891	2.4581464233369448	4.159734394785167	1.9486331998344217	0.004053449201454101	2.0	0.25	0.25	0.25	0.25	0.3771622634863669
26000	-4663.612302714408	-4629.00513840303	-34.607164311376906	-4629.00513840303	7.045258729244559	41.79060795936979	18.48549067912753	23.30511728024225	63	69	35	24	0	1.9616886042593733	0.3027896747322656	0.7635606860615469	2.77763885240094	3.5590107311666865	2.482634309587277	6.260589824750701	1.411324235689815	0.0038355951340992883	2.0	0.25	0.25	0.25	0.25	0.45676093932781
27000	-4696.566397821483	-4627.02062952014	-69.54576830134386	-4627.02062952014	7.114476610469874	42.70500593454271	21.508950507325558	21.196055427217154	54	59	34	25	0	1.7934925794771017	0.39491689794720675	0.6398582697640031	2.215773004063689	2.233379428178493	2.318625087149141	3.756718044242791	1.3784291262511335	0.0043330289647421465	2.0	0.25	0.25	0.25	0.25	0.45676093932781
28000	-4718.04237147855	-4631.278520023273	-86.76385145527715	-4631.278520023273	7.205252121232857	42.15907154518844	19.597227714260242	22.561843830928204	43	42	29	30	1	2.4804929361856196	0.44878453533021	0.6049505965097723	2.4246489686789423	2.904994956423723	1.9605620882604113	2.642789827672883	2.155079801849843	0.0048255799013328425	2.0	0.25	0.25	0.25	0.25	0.45676093932781
29000	-4718.0442971393	-4626.150783022048	-91.89351411725228	-4626.150783022048	7.352057814613059	42.43098877037226	18.09307788403583	24.337910886336434	35	29	24	35	1	2.2855010471505928	0.4506083331089127	0.4901099334980608	1.939371549260543	1.8363673008636967	1.026244987345537	1.116208524219791	1.6883608183819385	0.004114176868107054	2.0	0.25	0.25	0.25	0.25	0.2798360094910055
30000	-4721.7949102068405	-4620.621402641171	-101.17350756566984	-4620.621402641171	7.188156522008279	42.2997599980817	19.142818651889748	23.156941346191953	26	22	26	33	1	2.407530315082695	0.41175648806734927	0.44283255955809453	1.4348885097517854	1.4788264846412664	0.8111120427640875	0.8723282629291924	1.3750488455151384	0.004361734686740423	2.0	0.25	0.25	0.25	0.25	0.2798360094910055
31000	-4711.455790162163	-4616.028136195342	-95.42765396682077	-4616.028136195342	7.000815909901449	41.106573203696854	15.987886914504442	25.11868628919241	39	30	21	38	1	1.5972032901576934	0.34514180618594337	0.4698399899260714	2.31359309959411	2.9617846617642885	0.7810562831653708	1.0632484087320577	2.17571030481249	0.003976389718003625	2.0	0.25	0.25	0.25	0.25	0.2798360094910055
32000	-4709.124870843039	-4621.181124719956	-87.9437461230834	-4621.181124719956	7.261155809600096	42.04560505362426	14.78046530025565	27.26513975336861	35	26	21	38	1	2.117732991733318	0.22675050237469727	0.5571698553617677	2.4322983758564494	2.412330152137543	0.9511123454351642	2.337067051182138	0.9817420462125597	0.004045580041077539	2.0	0.25	0.25	0.25	0.25	0.2356993639310176
33000	-4715.090599022109	-4628.595710115301	-86.49488890680786	-4628.595710115301	7.066255259906912	41.421377151584295	12.162880247410452	29.25849690417385	38	27	19	40	1	2.288404642661721	0.1718718513793075	0.45179755069569305	3.2562780965516698	2.9231647783358694	1.2872272111898835	3.38371930329049	1.1120240505194006	0.00459951333933092	2.0	0.25	0.25	0.25	0.25	0.2356993639310176
34000	-4706.459471997059	-4616.676348424313	-89.78312357274594	-4616.676348424313	6.950813854446585	41.263865442848704	11.72586092525124	29.53800451759748	34	22	18	41	1	4.474378132704659	0.15957142456457993	0.34751699860628144	2.7770879229136933	2.5068019472055014	1.034146854881431	2.252180251615633	1.1510629966911048	0.003798519033797131	2.0	0.25	0.25	0.25	0.25	0.20770705128675798
35000	-4710.055291814124	-4617.608439085268	-92.4468527288551	-4617.608439085268	7.3442805945532585	42.601163533692244	14.203589310726944	28.397574222965297	33	18	15	44	1	4.3100092900797975	0.16573896806295732	0.3217175382516062	2.234642361211056	2.1125054519154984	0.7886300258474485	1.5308174865102666	1.0882977519056594	0.003552847164964313	2.0	0.25	0.25	0.25	0.25	0.20770705128675798
36000	-4714.394056580958	-4618.954278788005	-95.43977779295363	-4618.954278788005	7.373919959764501	42.78698168490009	13.21452411854426	29.57245756635583	27	15	18	41	1	3.6225154817863743	0.23637409797763595	0.38408004055226097	2.3006074876804905	1.7958308263413805	0.6131309900546925	0.9962655702924554	1.1052068498183707	0.003825690696436122	2.0	0.25	0.25	0.25	0.25	0.20770705128675798
37000	-4706.201142445713	-4617.446917713835	-88.75422473187778	-4617.446917713835	7.237026478726976	40.96096544171664	11.862390467840624	29.098574973876026	25	12	17	42	1	2.784014590564275	0.2356120296070961	0.46345457685404423	1.7365841462037288	1.4920136469504475	0.4659575782231404	0.9165498578636104	0.758513090852892	0.004253743951840315	2.0	0.25	0.25	0.25	0.25	0.20770705128675798
38000	-4709.203855532287	-4617.343925423255	-91.85993010903141	-4617.343925423255	7.213916960534649	41.10878623569394	13.810259522517274	27.298526713176663	30	18	18	41	1	2.574317586961064	0.19873455138709073	0.5949533084618136	1.9893875898652202	2.273303854286573	0.5527216517524682	1.6546874867676893	0.7593604661451909	0.00416431953549082	2.0	0.25	0.25	0.25	0.25	0.17763028485533774
39000	-4702.454173829668	-4619.997140307712	-82.4570335219571	-4619.997140307712	7.0848394446365495	39.847118205701406	9.47239704564709	30.374721160054317	23	11	18	41	1	1.7970925103611866	0.21567451588891096	0.7988003270043019	1.5068962736888984	1.8765135870950882	0.3558671070843886	1.318035931771855	0.5066549746837012	0.004788875523297616	2.0	0.25	0.25	0.25	0.25	0.2019731616840896
40000	-4708.4068639272045	-4623.850500221401	-84.55636370580399	-4623.850500221401	7.32181597328346	41.275305278673514	11.067741566412103	30.207563712261404	22	13	21	38	1	2.0444765360909263	0.15055870403075877	0.824588245434847	1.8580146964130864	2.7765897736906053	0.42833793247019364	2.3459449021069454	0.506967883990951	0.0036436011654672738	2.0	0.25	0.25	0.25	0.25	0.2019731616840896
41000	-4718.9227605617525	-4633.332904615031	-85.58985594672116	-4633.332904615031	7.4995359438310665	41.316618386890944	10.66779242893324	30.64882595795769	23	12	19	40	1	1.961617601204131	0.11670520570939275	0.8001377190324046	1.443295435640819	3.097665465027682	0.433184477021294	2.9699381210736115	0.4518143273536846	0.003966638352837444	2.0	0.25	0.25	0.25	0.25	0.2019731616840896
42000	-4708.738278540837	-4636.063007484991	-72.67527105584566	-4636.063007484991	7.248690522966825	40.57483299901201	7.068964218273167	33.50586878073884	22	7	15	44	1	2.4781716697510405	0.10816466111753091	0.726582720674578	1.4059429743539549	3.254867324530371	0.33756598613214367	2.26755772243008	0.48454444500619154	0.00437572100795802	2.0	0.25	0.25	0.25	0.25	0.2019731616840896
43000	-4723.468309401585	-4634.615484608477	-88.85282479310835	-4634.615484608477	7.305837159434113	40.39526127952883	10.866398749283263	29.52886253024558	23	11	18	41	1	2.5589977426639585	0.09927347734459814	0.6850226239208391	1.244863094076929	2.1166943259790925	0.23187380451296866	1.6000124729651624	0.30675133766064866	0.003967672557115044	2.0	0.25	0.25	0.25	0.25	0.2019731616840896
